City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
570,Tilichiki,RU,60.4667,166.1,32.99,99,100,1.12,overcast clouds,2022-05-14 14:27:48
571,Saint-Louis,SN,16.3333,-15.0,109.56,8,48,11.21,scattered clouds,2022-05-14 14:27:48
572,Belaya Gora,RU,68.5333,146.4167,20.39,95,100,10.27,light snow,2022-05-14 14:27:49
573,Nuuk,GL,64.1835,-51.7216,27.21,68,75,6.91,light snow,2022-05-14 14:27:49
574,Iseyin,NG,7.9667,3.6,93.34,46,100,4.09,overcast clouds,2022-05-14 14:27:49
575,Coari,BR,-4.085,-63.1414,80.29,92,77,3.47,broken clouds,2022-05-14 14:27:50
576,Mvuma,ZW,-19.2792,30.5283,72.72,21,0,9.44,clear sky,2022-05-14 14:27:50
577,Batemans Bay,AU,-35.7167,150.1833,66.09,85,92,4.54,light rain,2022-05-14 14:27:51
578,Palmerston,AU,-12.486,130.9833,80.58,84,20,2.3,few clouds,2022-05-14 14:27:51
579,Niihama,JP,33.9593,133.3167,61.41,61,42,4.81,scattered clouds,2022-05-14 14:27:52
580,Roma,US,43.2128,-75.4557,75.81,64,20,0.0,few clouds,2022-05-14 14:27:52
581,Sungai Besar,MY,3.6746,100.9867,81.28,84,100,3.71,light rain,2022-05-14 14:27:53
582,Montepuez,MZ,-13.1256,38.9997,76.87,56,20,4.21,few clouds,2022-05-14 14:27:53
583,Neryungri,RU,56.6709,124.6491,23.94,89,97,7.43,overcast clouds,2022-05-14 14:27:53
584,Yamada,JP,39.4667,141.95,49.01,79,34,4.5,scattered clouds,2022-05-14 14:27:54
585,Sandwick,GB,60.0,-1.25,51.62,87,20,10.36,few clouds,2022-05-14 14:27:54
586,Abu Dhabi,AE,24.4667,54.3667,84.31,48,0,13.8,clear sky,2022-05-14 14:26:04
587,Kostomuksha,RU,64.571,30.5767,54.03,61,79,5.68,light rain,2022-05-14 14:27:55
588,Teya,RU,60.3778,92.6267,53.69,82,3,1.95,clear sky,2022-05-14 14:27:55
589,Bokoro,TD,12.3807,17.0568,102.92,19,100,3.78,overcast clouds,2022-05-14 14:27:56
590,Gonbad-E Qabus,IR,37.25,55.1672,76.15,48,0,2.64,clear sky,2022-05-14 14:27:56
591,Nalgonda,IN,17.05,79.2667,99.09,36,15,7.36,few clouds,2022-05-14 14:27:57
592,Ayagoz,KZ,47.9714,80.4392,63.88,60,100,8.28,overcast clouds,2022-05-14 14:28:57
