City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Newton,US,2022-05-09 20:16:55,42.337,-71.2092,62.65,28,0,20.71
240,Puerto Escondido,MX,2022-05-09 20:17:25,15.85,-97.0667,88.63,70,0,8.05
241,Vahan,AM,2022-05-09 20:17:26,40.5755,45.3977,36.9,94,99,1.25
242,Areosa,PT,2022-05-09 20:17:23,41.7178,-8.8571,60.35,83,79,9.62
243,Sao Filipe,CV,2022-05-09 20:17:26,14.8961,-24.4956,73.11,80,13,8.9
244,Aykhal,RU,2022-05-09 20:17:27,66.0,111.5,5.36,97,78,7.23
245,Souillac,MU,2022-05-09 20:17:27,-20.5167,57.5167,73.78,94,40,1.14
246,Cabo San Lucas,MX,2022-05-09 20:17:28,22.8909,-109.9124,89.62,26,0,6.91
247,Port-Cartier,CA,2022-05-09 20:16:22,50.0334,-66.8654,49.75,67,0,5.03
248,Axim,GH,2022-05-09 20:17:28,4.8699,-2.2405,81.14,79,100,9.75
249,Alofi,NU,2022-05-09 20:17:29,-19.0595,-169.9187,78.69,78,40,9.22
250,Tasiilaq,GL,2022-05-09 20:17:29,65.6145,-37.6368,35.76,62,90,6.4
251,Sisimiut,GL,2022-05-09 20:15:11,66.9395,-53.6735,30.33,96,100,27.13
252,Saint-Augustin,CA,2022-05-09 20:17:30,51.226,-58.6502,52.59,50,17,6.8
253,Isangel,VU,2022-05-09 20:17:31,-19.55,169.2667,76.1,72,100,17.22
254,Alamosa,US,2022-05-09 20:17:31,37.4695,-105.87,69.78,10,0,37.98
255,Coquimbo,CL,2022-05-09 20:13:16,-29.9533,-71.3436,64.13,63,0,11.5
256,Gallup,US,2022-05-09 20:16:15,35.5281,-108.7426,71.44,14,0,34.52
257,Chapais,CA,2022-05-09 20:17:32,49.7834,-74.8492,69.58,38,99,8.21
258,Shimoda,JP,2022-05-09 20:17:32,34.6667,138.95,53.1,87,100,18.48
259,Salalah,OM,2022-05-09 20:17:33,17.0151,54.0924,82.49,78,0,0.0
260,Qaqortoq,GL,2022-05-09 20:17:33,60.7167,-46.0333,37.47,82,14,5.12
261,Berlevag,NO,2022-05-09 20:17:33,70.8578,29.0864,37.2,80,75,2.3
262,Den Helder,NL,2022-05-09 20:17:34,52.9599,4.7593,60.03,61,100,3.44
263,Albacete,ES,2022-05-09 20:17:34,38.8333,-2.0,63.19,55,0,8.05
264,Namatanai,PG,2022-05-09 20:17:35,-3.6667,152.4333,80.67,80,86,11.95
265,Kavaratti,IN,2022-05-09 20:17:35,10.5669,72.642,85.41,71,100,17.65
266,Palmer,US,2022-05-09 20:17:36,42.1584,-72.3287,69.4,14,20,23.02
267,Igboho,NG,2022-05-09 20:17:36,8.8333,3.75,78.26,75,67,0.96
268,Torbay,CA,2022-05-09 20:17:36,47.6666,-52.7314,44.89,47,20,6.91
269,Luderitz,NA,2022-05-09 20:17:37,-26.6481,15.1594,61.47,55,9,7.61
270,Atar,MR,2022-05-09 20:17:37,20.5169,-13.0499,97.9,14,100,17.69
271,Korla,CN,2022-05-09 20:17:38,41.7597,86.1469,72.97,33,1,6.26
272,Scottsbluff,US,2022-05-09 20:17:38,41.8666,-103.6672,64.63,32,0,28.77
273,Saint-Philippe,RE,2022-05-09 20:17:39,-21.3585,55.7679,71.19,83,18,5.28
274,Dikson,RU,2022-05-09 20:17:39,73.5069,80.5464,6.19,99,28,7.78
275,Gazanjyk,TM,2022-05-09 20:18:40,39.2446,55.5154,63.36,48,2,6.51
276,Lamesa,US,2022-05-09 20:17:35,32.7376,-101.951,95.52,8,0,22.37
277,Ghanzi,BW,2022-05-09 20:18:40,-21.5667,21.7833,59.29,23,0,6.15
278,Cururupu,BR,2022-05-09 20:18:41,-1.8283,-44.8683,74.91,96,100,2.37
279,Uporovo,RU,2022-05-09 20:18:41,56.3109,66.2693,53.08,37,100,8.75
280,West Wendover,US,2022-05-09 20:18:41,40.7391,-114.0733,46.29,18,100,14.16
281,Uige,AO,2022-05-09 20:18:42,-7.6087,15.0613,72.46,78,46,2.37
282,Zonguldak,TR,2022-05-09 20:18:42,41.25,31.8333,39.63,95,1,2.53
283,Mahajanga,MG,2022-05-09 20:18:43,-15.7167,46.3167,80.62,78,20,5.75
284,Montebello,US,2022-05-09 20:18:43,34.0095,-118.1053,74.34,48,75,12.66
285,Ngunguru,NZ,2022-05-09 20:18:44,-35.6167,174.5,58.23,89,16,7.31
286,Santa Isabel Do Rio Negro,BR,2022-05-09 20:18:44,-0.4139,-65.0192,76.87,89,100,1.7
287,Gualaquiza,EC,2022-05-09 20:18:44,-3.4,-78.55,76.96,65,70,3.78
288,Ihiala,NG,2022-05-09 20:18:45,5.8538,6.8603,78.84,86,84,5.46
289,Southbridge,US,2022-05-09 20:18:45,42.0751,-72.0334,66.36,22,1,11.99
290,Myitkyina,MM,2022-05-09 20:18:46,25.3833,97.4,72.54,99,100,1.32
291,Nenjiang,CN,2022-05-09 20:18:46,49.1833,125.2167,58.69,25,100,18.19
292,Thunder Bay,CA,2022-05-09 20:15:32,48.4001,-89.3168,52.29,62,75,18.41
293,Kilgore,US,2022-05-09 20:18:47,32.3863,-94.8758,92.03,52,20,17.27
